Date,USD_to_pound_spot
2011-09-13,1.5805
2011-09-14,1.5773
2011-09-15,1.5808
2011-09-16,1.5802
2011-09-19,1.5674
2011-09-20,1.5718
2011-09-21,1.5619
2011-09-22,1.5358
2011-09-23,1.5475
2011-09-26,1.5553
2011-09-27,1.5681
2011-09-28,1.5648
2011-09-29,1.5685
2011-09-30,1.5624
2011-10-03,1.5474
2011-10-04,1.5403
2011-10-05,1.5436
2011-10-06,1.5398
2011-10-07,1.5628
2011-10-10,
2011-10-11,1.5594
2011-10-12,1.5757
2011-10-13,1.5729
2011-10-14,1.5808
2011-10-17,1.5778
2011-10-18,1.5654
2011-10-19,1.5799
2011-10-20,1.5726
2011-10-21,1.5945
2011-10-24,1.5986
2011-10-25,1.5994
2011-10-26,1.5905
2011-10-27,1.6081
2011-10-28,1.613
2011-10-31,1.6141
2011-11-01,1.5946
2011-11-02,1.5974
2011-11-03,1.5959
2011-11-04,1.6026
2011-11-07,1.6024
2011-11-08,1.6076
2011-11-09,1.5958
2011-11-10,1.5935
2011-11-11,
2011-11-14,1.5899
2011-11-15,1.5818
2011-11-16,1.577
2011-11-17,1.5801
2011-11-18,1.5783
2011-11-21,1.5662
2011-11-22,1.5646
2011-11-23,1.5511
2011-11-24,
2011-11-25,1.5467
2011-11-28,1.5538
2011-11-29,1.5625
2011-11-30,1.5705
2011-12-01,1.5698
2011-12-02,1.5592
2011-12-05,1.5689
2011-12-06,1.558
2011-12-07,1.5691
2011-12-08,1.5635
2011-12-09,1.5642
2011-12-12,1.5597
2011-12-13,1.5528
2011-12-14,1.5445
2011-12-15,1.5486
2011-12-16,1.5514
2011-12-19,1.5531
2011-12-20,1.5674
2011-12-21,1.568
2011-12-22,1.5667
2011-12-23,1.5615
2011-12-26,
2011-12-27,1.5671
2011-12-28,1.5478
2011-12-29,1.5386
2011-12-30,1.5537
2012-01-02,
2012-01-03,1.5655
2012-01-04,1.5638
2012-01-05,1.548
2012-01-06,1.5431
2012-01-09,1.5436
2012-01-10,1.5489
2012-01-11,1.5325
2012-01-12,1.5325
2012-01-13,1.5301
2012-01-16,
2012-01-17,1.5356
2012-01-18,1.541
2012-01-19,1.5484
2012-01-20,1.554
2012-01-23,1.5582
2012-01-24,1.5595
2012-01-25,1.557
2012-01-26,1.5706
2012-01-27,1.5716
2012-01-30,1.569
2012-01-31,1.5754
2012-02-01,1.5849
2012-02-02,1.5813
2012-02-03,1.5779
2012-02-06,1.5832
2012-02-07,1.5891
2012-02-08,1.582
2012-02-09,1.5838
2012-02-10,1.5748
2012-02-13,1.578
2012-02-14,1.5691
2012-02-15,1.571
2012-02-16,1.5795
2012-02-17,1.5813
2012-02-20,
2012-02-21,1.5796
2012-02-22,1.5677
2012-02-23,1.57
2012-02-24,1.5869
2012-02-27,1.5845
2012-02-28,1.5887
2012-02-29,1.5951
2012-03-01,1.5953
2012-03-02,1.5852
2012-03-05,1.587
2012-03-06,1.572
2012-03-07,1.5746
2012-03-08,1.5822
2012-03-09,1.5677
2012-03-12,1.5615
2012-03-13,1.5736
2012-03-14,1.5686
2012-03-15,1.5669
2012-03-16,1.5845
2012-03-19,1.5894
2012-03-20,1.5857
2012-03-21,1.5848
2012-03-22,1.5807
2012-03-23,1.5864
2012-03-26,1.5939
2012-03-27,1.5972
2012-03-28,1.5855
2012-03-29,1.5911
2012-03-30,1.5985
2012-04-02,1.6022
2012-04-03,1.5966
2012-04-04,1.5879
2012-04-05,1.5822
2012-04-06,1.5877
2012-04-09,1.5879
2012-04-10,1.5836
2012-04-11,1.5892
2012-04-12,1.5939
2012-04-13,1.5851
2012-04-16,1.5865
2012-04-17,1.5931
2012-04-18,1.602
2012-04-19,1.6058
2012-04-20,1.6123
2012-04-23,1.6102
2012-04-24,1.6135
2012-04-25,1.6146
2012-04-26,1.6188
2012-04-27,1.6239
2012-04-30,1.6225
2012-05-01,1.6221
2012-05-02,1.6193
2012-05-03,1.6185
2012-05-04,1.6148
2012-05-07,1.6192
2012-05-08,1.6159
2012-05-09,1.613
2012-05-10,1.6161
2012-05-11,1.608
2012-05-14,1.6116
2012-05-15,1.6025
2012-05-16,1.5933
2012-05-17,1.5823
2012-05-18,1.5788
2012-05-21,1.579
2012-05-22,1.5775
2012-05-23,1.5691
2012-05-24,1.5698
2012-05-25,1.5648
2012-05-28,
2012-05-29,1.563
2012-05-30,1.5532
2012-05-31,1.5405
2012-06-01,1.5383
2012-06-04,1.5382
2012-06-05,1.5355
2012-06-06,1.5475
2012-06-07,1.5557
2012-06-08,1.5433
2012-06-11,1.5515
2012-06-12,1.5562
2012-06-13,1.5557
2012-06-14,1.5533
2012-06-15,1.5654
2012-06-18,1.5665
2012-06-19,1.5732
2012-06-20,1.575
2012-06-21,1.5633
2012-06-22,1.5582
2012-06-25,1.5555
2012-06-26,1.562
2012-06-27,1.5549
2012-06-28,1.5503
2012-06-29,1.5686
2012-07-02,1.5679
2012-07-03,1.5702
2012-07-04,
2012-07-05,1.5531
2012-07-06,1.548
2012-07-09,1.5507
2012-07-10,1.5506
2012-07-11,1.5532
2012-07-12,1.5425
2012-07-13,1.555
2012-07-16,1.5635
2012-07-17,1.5613
2012-07-18,1.5636
2012-07-19,1.5719
2012-07-20,1.563
2012-07-23,1.5512
2012-07-24,1.5521
2012-07-25,1.5479
2012-07-26,1.5683
2012-07-27,1.5728
2012-07-30,1.5694
