Date,USD_Emerging_Mkt_index
2012-02-02,94.5218
2012-02-03,94.3123
2012-02-06,94.2626
2012-02-07,94.1875
2012-02-08,94.2215
2012-02-09,94.289
2012-02-10,94.6303
2012-02-13,94.3683
2012-02-14,94.6154
2012-02-15,94.5633
2012-02-16,94.8444
2012-02-17,94.6537
2012-02-20,
2012-02-21,94.4645
2012-02-22,94.6277
2012-02-23,94.6076
2012-02-24,94.6249
2012-02-27,94.6827
2012-02-28,94.5817
2012-02-29,94.3754
2012-03-01,94.3794
2012-03-02,94.507
2012-03-05,94.7353
2012-03-06,95.2999
2012-03-07,95.1487
2012-03-08,94.7802
2012-03-09,94.4811
2012-03-12,94.9403
2012-03-13,94.6846
2012-03-14,94.9497
2012-03-15,94.8622
2012-03-16,94.7858
2012-03-19,94.6538
2012-03-20,94.9756
2012-03-21,95.028
2012-03-22,95.2716
2012-03-23,95.1886
2012-03-26,94.9354
2012-03-27,94.7984
2012-03-28,95.1764
2012-03-29,95.4017
2012-03-30,95.1056
2012-04-02,94.9372
2012-04-03,94.8231
2012-04-04,95.2128
2012-04-05,95.2665
2012-04-06,95.5136
2012-04-09,95.5964
2012-04-10,96.0555
2012-04-11,95.9819
2012-04-12,95.6646
2012-04-13,95.8213
2012-04-16,96.1136
2012-04-17,95.7471
2012-04-18,95.9713
2012-04-19,96.2143
2012-04-20,95.9611
2012-04-23,96.2566
2012-04-24,96.1042
2012-04-25,96.0875
2012-04-26,96.0804
2012-04-27,95.6586
2012-04-30,95.5361
2012-05-01,95.4937
2012-05-02,95.7117
2012-05-03,95.8534
2012-05-04,96.2473
2012-05-07,96.2596
2012-05-08,96.6522
2012-05-09,97.1614
2012-05-10,97.0291
2012-05-11,97.0985
2012-05-14,97.7709
2012-05-15,97.9524
2012-05-16,98.3061
2012-05-17,98.2928
2012-05-18,98.524
2012-05-21,98.5329
2012-05-22,98.4317
2012-05-23,99.3088
2012-05-24,99.1762
2012-05-25,99.1866
2012-05-28,
2012-05-29,99.0639
2012-05-30,99.5942
2012-05-31,100.1243
2012-06-01,100.2408
2012-06-04,99.9861
2012-06-05,99.9423
2012-06-06,99.4152
2012-06-07,99.089
2012-06-08,99.391
2012-06-11,99.3429
2012-06-12,99.4066
2012-06-13,99.3198
2012-06-14,99.3962
2012-06-15,99.0846
2012-06-18,99.064
2012-06-19,98.5259
2012-06-20,98.6377
2012-06-21,98.8725
2012-06-22,99.2092
2012-06-25,99.5521
2012-06-26,99.3031
2012-06-27,98.9236
2012-06-28,98.9829
2012-06-29,97.9198
2012-07-02,97.8037
2012-07-03,97.4551
2012-07-04,
2012-07-05,97.7433
2012-07-06,98.2303
2012-07-09,98.2302
2012-07-10,97.8687
2012-07-11,97.9217
2012-07-12,98.3777
2012-07-13,98.0058
2012-07-16,97.8667
2012-07-17,97.71
2012-07-18,97.4481
2012-07-19,97.5504
2012-07-20,97.8065
2012-07-23,98.5613
2012-07-24,98.9881
2012-07-25,98.8347
2012-07-26,98.269
