Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1957-09,-2.09,-5.58,-3.76,-4.77,-5.86,-4.17,-3.68,-3.88,-5.45,-6.39,-5.31,-5.01,-3.34,-4.35,-3.0,-4.34,-3.42,-5.03,-5.87
1957-10,-11.52,-4.26,-4.32,-5.98,-4.99,-3.56,-3.15,-5.67,-6.62,-5.1,-4.87,-2.8,-4.32,-3.52,-2.78,-6.61,-4.72,-8.14,-5.09
1957-11,7.42,4.94,2.59,2.19,5.76,3.72,2.04,3.12,1.22,5.72,5.81,3.28,4.16,2.32,1.74,2.11,4.13,1.15,1.3
1957-12,-3.32,-2.95,-1.99,-5.35,-2.79,-2.02,-1.42,-4.18,-6.02,-3.31,-2.26,-3.28,-0.76,-1.42,-1.42,-4.36,-4.0,-6.56,-5.49
1958-01,20.73,6.62,8.38,11.07,6.29,7.29,7.57,10.06,12.08,6.58,6.0,7.27,7.32,7.25,7.89,11.05,9.07,11.7,12.45
1958-02,-3.99,-1.33,-0.19,-0.15,-1.43,-0.69,0.0,0.59,-1.06,-1.23,-1.64,-1.11,-0.27,-0.03,0.02,-0.48,1.65,-1.43,-0.69
1958-03,1.81,3.74,3.95,4.3,3.7,3.11,4.48,4.54,4.14,2.96,4.46,3.81,2.42,4.87,4.07,4.46,4.62,4.62,3.66
1958-04,8.66,2.93,2.85,2.07,2.89,3.45,2.25,2.3,2.3,1.39,4.42,3.01,3.89,2.5,2.0,3.0,1.6,2.42,2.18
1958-05,8.55,3.04,3.02,3.76,3.24,2.4,3.55,3.17,3.89,2.87,3.63,2.63,2.17,4.4,2.7,2.82,3.51,4.96,2.81
1958-06,5.48,2.79,2.5,2.85,2.69,3.16,1.97,2.84,2.8,2.39,3.0,2.99,3.33,1.94,1.99,2.74,2.94,2.62,2.99
1958-07,13.15,4.38,4.69,6.39,4.7,3.68,4.49,5.75,6.9,4.23,5.19,3.74,3.63,4.16,4.83,6.13,5.36,6.66,7.14
1958-08,8.22,1.88,2.48,3.87,2.31,1.4,2.74,3.75,3.39,3.21,1.36,1.03,1.78,2.46,3.04,2.66,4.85,2.86,3.91
1958-09,15.56,4.68,4.42,6.74,4.81,4.29,3.59,5.51,7.77,4.43,5.21,4.44,4.13,4.28,2.87,6.37,4.63,7.5,8.04
